
0    [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts-default.xml]
98   [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts-plugin.xml]
113  [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts.xml]
116  [main] WARN  org.apache.struts2.config.Settings  - Settings: Could not parse struts.locale setting, substituting default VM locale
119  [main] INFO  com.opensymphony.xwork2.config.impl.DefaultConfiguration  - Overriding property struts.i18n.reload - old value: false new value: true
119  [main] INFO  com.opensymphony.xwork2.config.impl.DefaultConfiguration  - Overriding property struts.configuration.xml.reload - old value: false new value: true
122  [main] INFO  org.apache.struts2.config.BeanSelectionProvider  - Loading global messages from global
185  [main] INFO  com.opensymphony.xwork2.util.ObjectTypeDeterminerFactory  - Detected GenericsObjectTypeDeterminer, initializing it...
9553 [http-8181-1] ERROR com.opensymphony.xwork2.interceptor.ParametersInterceptor  - ParametersInterceptor - [setParameters]: Unexpected Exception catched: Error setting expression 'param' with value '[Ljava.lang.String;@1efc208'
14379 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Connection release mode: auto
14380 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Default batch fetch size: 1
14380 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Generate SQL with comments: disabled
14380 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Order SQL updates by primary key: disabled
14380 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Order SQL inserts for batching: disabled
14380 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
14389 [http-8181-1] INFO  org.hibernate.hql.ast.ASTQueryTranslatorFactory  - Using ASTQueryTranslatorFactory
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Query language substitutions: {}
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - JPA-QL strict compliance: disabled
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Second-level cache: enabled
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Query cache: disabled
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Cache region factory : org.hibernate.cache.impl.NoCachingRegionFactory
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Optimize cache for minimal puts: disabled
14390 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Structured second-level cache entries: disabled
14401 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Echoing all SQL to stdout
14403 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Statistics: disabled
14403 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Deleted entity synthetic identifier rollback: disabled
14403 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Default entity-mode: pojo
14403 [http-8181-1] INFO  org.hibernate.cfg.SettingsFactory  - Named query checking : enabled
14515 [http-8181-1] INFO  org.hibernate.impl.SessionFactoryImpl  - building session factory
15418 [http-8181-1] INFO  org.hibernate.impl.SessionFactoryObjectFactory  - Not binding factory to JNDI, no JNDI name configured
17056 [http-8181-1] ERROR com.opensymphony.xwork2.interceptor.ParametersInterceptor  - ParametersInterceptor - [setParameters]: Unexpected Exception catched: Error setting expression 'param' with value '[Ljava.lang.String;@61a7e6'
