S.No.;Date  & Time;Transaction Id;Particulars;Channel Id;Transaction Amount;Charges;Net Amount;OpeningBalance;Type;Current Balance;Transcation Status;Remark;1;Feb 15, 201212:35:04;12021512350309904434;AdmintoMD;MDUP10004;350000.0000;0.0000;350000.0000;36355.0000;credit;386355.0000;success;FOR INTERNAL TRANSFER USE
1;Feb 14, 201212:24:51;12021412245108239255;AdmintoMD;MDUP10004;350000.0000;0.0000;350000.0000;28673.0000;credit;378673.0000;success;FOR INTERNAL TRANSFER USE
1;Feb 11, 201214:21:38;12021114213809709195;AdmintoMD;MDUP10004;350000.0000;0.0000;350000.0000;68864.0000;credit;418864.0000;success;FOR INTERNAL TRANSFER USE
1;Feb 09, 201216:27:11;12020916271104506465;AdmintoMD;MDUP10004;350000.0000;0.0000;350000.0000;37082.0000;credit;387082.0000;success;FOR INTERNAL TRANSFER USE
1;Feb 07, 201213:07:12;12020713071209409289;AdmintoMD;MDUP10004;350000.0000;0.0000;350000.0000;30507.0000;credit;380507.0000;success;FOR INTERNAL TRANSFER USE
